nombre,afinidad,especialidad,detalle_especialidad
Ori Sanchez,567,Cantante,Soprano
Alfonso Aguirre,215,Cantante,Tenor
Graham Woods,151,Baterista,158
Olympia Jefferson,310,Cantante,Tenor
Wylie Herman,485,Cantante,Bajo
Shay Wood,159,Cantante,Tenor
Iola Stark,408,Guitarrista,Eléctrica
Alan Herrera,80,Guitarrista,Eléctrica
Noah Emerson,221,Cantante,Tenor
Gay Brennan,380,Guitarrista,Eléctrica
Buckminster Herrera,327,Cantante,Tenor
Burton Bruce,306,Guitarrista,Acústica
Wang Flores,198,Baterista,92
Cooper Hampton,55,Cantante,Bajo
Christine Moses,224,Guitarrista,Acústica
Kimberly Santos,184,Baterista,148
Edward Flowers,514,Baterista,116
Dean Finch,449,Cantante,Bajo
Logan Huffman,570,Guitarrista,Acústica
Brady Henderson,231,Cantante,Soprano
Cameron Tran,78,Cantante,Soprano
Renee Workman,328,Cantante,Soprano
Aristotle Mann,410,Guitarrista,Acústica
Rafael Jackson,578,Cantante,Tenor
Kiayada Kramer,15,Guitarrista,Eléctrica
Regina Stephens,310,Baterista,167
Martina Faulkner,298,Cantante,Bajo
Kibo Keith,79,Guitarrista,Eléctrica
Zia Walsh,407,Guitarrista,Acústica
Wyatt Ray,118,Cantante,Tenor
Eagan Bean,412,Cantante,Soprano
Orlando Raymond,518,Guitarrista,Acústica
Amal Riley,219,Baterista,108
Kendall Flynn,345,Cantante,Soprano
Samuel Gamble,513,Guitarrista,Acústica
Vivian Ayala,481,Baterista,162
Xantha Black,62,Cantante,Soprano
Fredericka Ellis,404,Cantante,Tenor
Chava Reynolds,584,Baterista,84
Hilel Cooper,530,Cantante,Soprano
Rigel Carroll,136,Baterista,78
Karen Schroeder,559,Cantante,Tenor
Elijah Chen,290,Cantante,Tenor
Rhiannon Vincent,347,Cantante,Bajo
Nyssa Stanton,57,Baterista,165
Reed Farrell,523,Cantante,Bajo
Sophia Russell,137,Cantante,Tenor
Blaine Vance,399,Cantante,Bajo
Raven Dominguez,178,Guitarrista,Eléctrica
Jennifer Nieves,594,Guitarrista,Eléctrica
Cruz Good,518,Cantante,Bajo
Nehru Baldwin,37,Cantante,Tenor
Cameron Howe,550,Cantante,Bajo
Kareem Frank,410,Cantante,Tenor
Althea Leach,504,Baterista,128
Quail Salas,161,Baterista,135
Robert Gates,240,Guitarrista,Eléctrica
Ori Hardin,24,Guitarrista,Acústica
Moses Middleton,106,Guitarrista,Eléctrica
Jonah Little,18,Guitarrista,Acústica
Pearl Dale,419,Baterista,138
Nayda Bowen,488,Guitarrista,Eléctrica
Casey Gould,471,Guitarrista,Eléctrica
Anne Richmond,530,Cantante,Bajo
Flynn Hancock,383,Cantante,Bajo
Tyrone Rush,375,Cantante,Tenor
Amber Sosa,410,Cantante,Bajo
Sage Sanchez,513,Baterista,137
Clayton Rosa,349,Guitarrista,Eléctrica
Ishmael Garner,520,Guitarrista,Acústica
Rudyard Bates,428,Baterista,180
Channing Durham,26,Baterista,152
Jamalia Richard,169,Guitarrista,Eléctrica
Shelly Baird,358,Cantante,Bajo
Adam Ferrell,550,Cantante,Bajo
Hilary Davis,51,Baterista,119
Emery Molina,269,Baterista,93
Paki Thomas,229,Cantante,Bajo
Aurelia Buckner,188,Guitarrista,Eléctrica
Suki Stein,319,Cantante,Tenor
Wanda Gordon,229,Guitarrista,Eléctrica
Martha Potter,387,Baterista,122
Otto Reyes,85,Baterista,78
Moses Walsh,547,Baterista,66
Candace Colon,122,Guitarrista,Acústica
Reece Baxter,373,Baterista,117
Kennan Cortez,156,Baterista,178
Natalie Brown,157,Baterista,143
Octavius Leonard,203,Guitarrista,Eléctrica
Hayden Craig,163,Cantante,Tenor
Gloria Ray,418,Guitarrista,Acústica
Xerxes Mccoy,456,Baterista,63
Cadman Alvarado,93,Cantante,Soprano
Brooke Medina,525,Cantante,Tenor
Wing Durham,256,Baterista,72
Odysseus Whitfield,212,Guitarrista,Eléctrica
Chastity Gates,178,Cantante,Bajo
Colby Crane,71,Cantante,Soprano
Brady Leon,512,Cantante,Bajo
Zachary Cantu,365,Cantante,Soprano
Emery Norton,448,Cantante,Soprano
Nyssa Skinner,324,Cantante,Soprano
Darryl Lott,387,Baterista,128
Whoopi Hull,201,Guitarrista,Acústica
Xavier Ramos,188,Cantante,Bajo
